"#AUTHID","STATUS","sEXT","sNEU","sAGR","sCON","sOPN","cEXT","cNEU","cAGR","cCON","cOPN","DATE","NETWORKSIZE","BETWEENNESS","NBETWEENNESS","DENSITY","BROKERAGE","NBROKERAGE","TRANSITIVITY"
"b7b7764cfa1c523e4e93ab2a79a946c4","likes the sound of thunder.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",06/19/09 03:21 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is so sleepy it's not even funny that's she can't get to sleep.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",07/02/09 08:41 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",06/15/09 01:15 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","likes how the day sounds in this new song.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",06/22/09 04:48 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is home. <3",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",07/20/09 02:31 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","www.thejokerblogs.com",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",07/16/09 03:21 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",06/27/09 05:41 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is in Kentucky. 421 miles into her 1100 mile journey home.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",07/18/09 06:34 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",07/09/09 02:58 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is celebrating her new haircut by listening to swinger music and generally looking like a doofus.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",07/07/09 11:41 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","has a crush on the Green Lantern.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",07/15/09 07:48 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","has magic on the brain.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",08/05/09 04:27 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","saw Transformers, Up, and Year One this week. Good movie overload. :D",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",06/25/09 04:36 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","Who wants to meet up on schedule pick-up day at Oviedo?",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",08/11/09 03:38 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","desires the thrill of inspiration. Also, money.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",08/07/09 09:35 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is going to bed at 9:30! Yeah!",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",08/18/09 01:29 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",08/21/09 10:18 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","thinks intangibility should be an option in reality settings.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",08/31/09 02:27 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is tired. *PROPNAME*, let me go to sleep pl0x.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",07/11/09 05:44 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is discovering the many flavors of insomnia.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",07/27/09 06:59 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is watching cousin play computer game on televison box thing. Also, sleepy.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",06/16/09 04:52 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","Why is it I'm only getting the urge to draw when I have stuff to do for school? D;",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",08/26/09 12:16 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","Who'da thought a single text message could be enough to change my mind?",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",08/30/09 03:39 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","wishes to develop a super power that prevents her from needing to sleep.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",09/01/09 02:05 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","TELL ME WHAT TO DRAW, PLOX.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",08/02/09 09:14 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","found a bunny, bunny died, buried bunny, now is drawing.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",07/26/09 07:53 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","<3",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",09/08/09 11:00 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","is just about insane by now.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",09/08/09 09:46 PM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","wants to sleep eight hours tonight. And so she shall.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",09/17/09 01:32 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",09/08/09 03:04 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",08/01/09 04:34 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",09/10/09 02:56 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
"b7b7764cfa1c523e4e93ab2a79a946c4","can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(",2.65,3.00,3.15,3.25,4.40,"n","y","n","n","y",09/14/09 01:29 AM,180,14861.6,93.29,0.03,15661,0.49,0.1
